,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Python
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,indexstore-db,C++
41,learning-compressible-subspaces,Python
42,learning-subspaces,Python
43,llvm-monorepo-root,
44,llvm-project,
45,llvm-project-v5,C++
46,llvm-project-v5-split,C++
47,MaterialX,
48,ml-4m,Python
49,ml-afv,Python
50,ml-agm,Python
51,ml-aim,Python
52,ml-all-pairs,Python
53,ml-ane-transformers,Python
54,ml-aspanformer,Python
55,ml-autofocusformer,Python
56,ml-autofocusformer-segmentation,Python
57,ml-batchquant,Python
58,ml-behavioral-testing-for-mt,
59,ml-calibration,Jupyter Notebook
60,ml-capsules-inverted-attention-routing,Python
61,ml-cifar-10-faster,Python
62,ml-code-switched-speech-translation,Python
63,ml-codeswitching-translations,
64,ml-collegial-ensembles,Python
65,ml-core,Python
66,ml-covid-mobility,R
67,ml-cread,Python
68,ml-cvnets,Python
69,ml-cvpr2019-swd,Python
70,ml-dab,Python
71,ml-data-parameters,Python
72,ml-delphi,
73,ml-destseg,Python
74,ml-direct2.5,Python
75,ml-dms-dataset,Python
76,ml-dprecs,Jupyter Notebook
77,ml-dr,Python
78,ml-duet,Python
79,ml-entity-deduction-arena,Python
80,ml-entropy-reconstruction,Python
81,ml-envmapnet,Python
82,ml-equivariant-neural-rendering,Jupyter Notebook
83,ml-facelit,Python
84,ml-famae,Python
85,ml-fastvit,Python
86,ml-fct,Python
87,ml-ferret,Python
88,ml-finerecon,Python
89,ml-flair,Jupyter Notebook
90,ml-gaudi,
91,ml-gmpi,Python
92,ml-gsn,Python
93,ml-hd-gist,Python
94,ml-heart-rate-models,Python
95,ml-hierarchical-confusion-matrix,TypeScript
96,ml-hugs,Python
97,ml-hypersim,Python
98,ml-interspeech2022-phi_rtn,
99,ml-jointnet,Python
100,ml-kge,Python
101,ml-knowledge-conflicts,Python
102,ml-live-pose,
103,ml-llarp,Python
104,ml-lucid-datagen,Python
105,ml-mgie,Python
106,ml-mkqa,Python
107,ml-mobileclip,Python
108,ml-mobileone,Swift
109,ml-mofi,Python
110,ml-multiple-futures-prediction,Python
111,ml-ncg,Python
112,ml-neilf,Python
113,ml-neilfpp,Python
114,ml-neuman,Python
115,ml-no-token-left-behind,Jupyter Notebook
116,ml-np-rasp,Python
117,ml-nvas3d,Python
118,ml-ogen,Python
119,ml-pgdvs,Python
120,ml-planner,Python
121,ml-pointconvformer,Python
122,ml-pointersect,Python
123,ml-probabilistic-attention,Python
124,ml-projunit,Python
125,ml-qrecc,Python
126,ml-quant,Python
127,ml-recurrent-drafter,Python
128,ml-reed,Python
129,ml-rlgrad,Python
130,ml-robust-expert-augmentations,Python
131,ml-rpm-bench,Python
132,ml-sad,Python
133,ml-selfcond,Python
134,ml-shuffling-amplification,Python
135,ml-sigma-reparam,Python
136,ml-spatial-librispeech,
137,ml-spin,Python
138,ml-stable-diffusion,Python
139,ml-stabledreamer,
140,ml-stuttering-events-dataset,Python
141,ml-symphony,Svelte
142,ml-tic-clip,Python
143,ml-tract,Python
144,ml-transcript-translation-consistency-ratings,
145,ml-translate-vis,TypeScript
146,ml-tree-dst,Python
147,ml-tune-mode-convbn,Python
148,ml-upscale,Jupyter Notebook
149,ml-uwac,Python
150,ml-veclip,Jupyter Notebook
151,ml-vfi-smiff,Python
152,ml-vision-transformers-ane,Python
153,openjdk,Java
154,password-manager-resources,JavaScript
155,pfl-research,Python
156,pkl,Java
157,pkl-evolution,
158,pkl-go,Go
159,pkl-go-examples,Go
160,pkl-intellij,Kotlin
161,pkl-jvm-examples,Groovy
162,pkl-k8s,Kotlin
163,pkl-k8s-examples,
164,pkl-lang.org,JavaScript
165,pkl-neovim,Scheme
166,pkl-package-docs,Kotlin
167,pkl-pantry,Kotlin
168,pkl-project-commons,
169,pkl-spring,Java
170,pkl-swift,Swift
171,pkl-swift-examples,Swift
172,pkl-vscode,TypeScript
173,pkl.tmbundle,
174,pytorch-speech-features,Python
175,rules_pkl,Starlark
176,sample-backyard-birds,Swift
177,sample-cloudkit-coredatasync,Swift
178,sample-cloudkit-encryption,Swift
179,sample-cloudkit-privatedb,Swift
180,sample-cloudkit-privatedb-sync,Swift
181,sample-cloudkit-queries,Swift
182,sample-cloudkit-sharing,Swift
183,sample-cloudkit-sync-engine,Swift
184,sample-cloudkit-tooling,JavaScript
185,sample-cloudkit-zonesharing,Swift
186,sample-food-truck,Swift
187,servicetalk,Java
188,sourcekit-lsp,Swift
189,swift,C++
190,swift-3-api-guidelines-review,Swift
191,swift-algorithms,Swift
192,swift-aoc-starter-example,Swift
193,swift-argument-parser,Swift
194,swift-asn1,Swift
195,swift-async-algorithms,Swift
196,swift-async-dns-resolver,Swift
197,swift-atomics,Swift
198,swift-book,Markdown
199,swift-cassandra-client,Swift
200,swift-certificates,Swift
201,swift-clang,C++
202,swift-clang-tools-extra,C++
203,swift-cluster-membership,Swift
204,swift-cmake-examples,CMake
205,swift-cmark,C
206,swift-collections,Swift
207,swift-collections-benchmark,Swift
208,swift-community-hosted-continuous-integration,
209,swift-compiler-rt,C
210,swift-corelibs-foundation,Swift
211,swift-corelibs-libdispatch,C
212,swift-corelibs-xctest,Swift
213,swift-crypto,C
214,swift-distributed-actors,Swift
215,swift-distributed-tracing,Swift
216,swift-distributed-tracing-baggage-core,Swift
217,swift-distributed-tracing-extras,Swift
218,swift-docc,Swift
219,swift-docc-plugin,Swift
220,swift-docc-render,JavaScript
221,swift-docc-render-artifact,
222,swift-docc-symbolkit,Swift
223,swift-docker,Dockerfile
224,swift-driver,Swift
225,swift-embedded-examples,Swift
226,swift-evolution,Markdown
227,swift-evolution-staging,Swift
228,swift-experimental-string-processing,Swift
229,swift-for-wasm-examples,Swift
230,swift-format,Swift
231,swift-foundation,Swift
232,swift-foundation-icu,C
233,swift-getting-started-cli,Swift
234,swift-getting-started-package-library,Swift
235,swift-http-structured-headers,Swift
236,swift-http-types,Swift
237,swift-installer-scripts,CMake
238,swift-integration-tests,Python
239,swift-internals,HTML
240,swift-issues,
241,swift-libcxx,C++
242,swift-llbuild,C++
243,swift-llbuild2,Swift
244,swift-lldb,C++
245,swift-llvm,LLVM
246,swift-llvm-bindings,Swift
247,swift-lmdb,C
248,swift-log,Swift
249,swift-markdown,Swift
250,swift-metrics,Swift
251,swift-metrics-extras,Swift
252,swift-migration-guide,Markdown
253,swift-mmio,Swift
254,swift-nio,Swift
255,swift-nio-examples,Swift
256,swift-nio-extras,Swift
257,swift-nio-http2,Swift
258,swift-nio-imap,Swift
259,swift-nio-nghttp2-support,Swift
260,swift-nio-ssh,Swift
261,swift-nio-ssl,C
262,swift-nio-ssl-support,Swift
263,swift-nio-transport-services,Swift
264,swift-nio-zlib-support,Swift
265,swift-numerics,Swift
266,swift-openapi-generator,Swift
267,swift-openapi-runtime,Swift
268,swift-openapi-urlsession,Swift
269,swift-org-website,SCSS
270,swift-package-collection-generator,Swift
271,swift-package-manager,Swift
272,swift-package-registry-compatibility-test-suite,Swift
273,swift-playdate-examples,Swift
274,swift-protobuf,Swift
275,swift-protobuf-plugin,
276,swift-protobuf-test-conformance,
277,swift-sample-distributed-actors-transport,Swift
278,swift-sdk-generator,Swift
279,swift-se0270-range-set,Swift
280,swift-se0288-is-power,Swift
281,swift-service-context,Swift
282,swift-service-discovery,Swift
283,swift-source-compat-suite,Python
284,swift-standard-library-preview,Swift
285,swift-statsd-client,Swift
286,swift-stress-tester,Swift
287,swift-string-processing-benchmarks,Swift
288,swift-syntax,Swift
289,swift-system,Swift
290,swift-testing,Swift
291,swift-tools-support-async,Swift
292,swift-tools-support-core,Swift
293,swift-xcode-playground-support,Swift
294,swiftpm-on-llbuild2,Swift
295,tensorflow_macos,Shell
296,tree-sitter-pkl,C
297,turicreate,C++
298,unityplugins,C#
299,VideoFlashingReduction,Mathematica
