,repository_name,language
0,.github,
1,aioshumway,Python
2,android-auth,HTML
3,android-sdk,HTML
4,android-store-service,Python
5,annoy,C++
6,annoy-java,Java
7,apollo,Java
8,apollo-elide,Java
9,apollo-metrics,
10,apps-tutorial,
11,async-datastore-client,Java
12,async-google-pubsub-client,Java
13,backup-utils,Shell
14,basic-pitch,Python
15,basic-pitch-ts,TypeScript
16,batty,Python
17,bazel,
18,bazel-tools,Java
19,beam,Java
20,big-data-rosetta-code,Scala
21,bigtable-autoscaler,Java
22,boilerplate-app,
23,bucket-runner,JavaScript
24,cartography,Python
25,cassandra-extra,Java
26,cassandra-medusa,Python
27,cassandra-opstools,Java
28,cassandra-reaper,
29,certcheck,Python
30,chartify,Python
31,code-of-conduct,
32,collectd,C
33,comet,Python
34,comet-common,Python
35,comet-core,Python
36,completable-futures,Java
37,condor,Java
38,confidence,Python
39,confidence-openfeature-provider-python,Python
40,confidence-sdk-android,Kotlin
41,confidence-sdk-go,Go
42,confidence-sdk-java,Java
43,confidence-sdk-js,TypeScript
44,confidence-sdk-swift,Swift
45,container-agent,Python
46,cookiecutter-golang,Go
47,coordinator,HTML
48,crtauth,Python
49,crtauth-java,Java
50,crtauth-java-agent-signer-apache,Java
51,crunch-lib,Java
52,cstar,Python
53,daemon-java,Java
54,dataenum,Java
55,DataflowJavaSDK,Java
56,dataproc-java-submitter,Java
57,dataprocxy,Python
58,dbeam,Java
59,debify,Shell
60,dh-virtualenv,Python
61,diffuser,Swift
62,dns-java,Java
63,docgenerator,Java
64,docker-alpine,
65,docker-bigtable,Go
66,docker-cassandra,Shell
67,docker-client,Java
68,docker-gc,Shell
69,docker-kafka,Shell
70,docker-maven-plugin,Java
71,docker-stress,Python
72,dockerfile-maven,Java
73,dockerfile-mode,Emacs Lisp
74,docker_interface,Python
75,drserv,Python
76,druid,
77,duck,Ruby
78,echoprint-codegen,C++
79,echoprint-server,Java
80,elasticsearch-index-window,Java
81,elitzur,Scala
82,eslint-config-oss,JavaScript
83,etcd,Go
84,featran,Scala
85,ffwd,Java
86,ffwd-client-java,Java
87,ffwd-http-client,Java
88,ffwd-ruby,Ruby
89,flink,Java
90,flink-docker,
91,flink-on-k8s-operator,Go
92,flo,Java
93,flume-syslog-source2,Java
94,flyte-flink-plugin,Go
95,fmt-maven-plugin,Java
96,folsom,Java
97,foss-root,
98,futures-extra,Java
99,futuristic-feline,Java
100,gcp-audit,Python
101,gcp-aws-iam-federation-webidentity,HCL
102,gcp-firewall-enforcer,Python
103,gcs-tools,Scala
104,ghelog,Python
105,gimme,Python
106,git-test,Shell
107,github-java-client,Java
108,google-http-java-client,Java
109,gordon,Python
110,gordon-gcp,Python
111,gordon-introspection,Python
112,gordon-janitor,Python
113,gordon-janitor-gcp,Python
114,griffin,Python
115,hadoop-openpgp-codec,Java
116,hdfs2cass,Java
117,helios,Java
118,helios-go,Go
119,helios-skydns,Java
120,heroic,Java
121,heroic-client-go,Go
122,heroic-client-java,Java
123,homebrew-public,Ruby
124,hornet,Scala
125,HubFramework,Objective-C
126,hush-tab,JavaScript
127,hype,Java
128,hyperflo,Scala
129,ieee-spm-vocals-tutorial,Jupyter Notebook
130,ios-auth,Objective-C
131,ios-ci,Shell
132,ios-sdk,Objective-C
133,ios-style,
134,java-hamcrest,Java
135,java-lkk,Java
136,jenkins-coverage-poster,Groovy
137,jira-lkk-bridge,Java
138,JniHelpers,C++
139,jsconfeu-2013,JavaScript
140,kafka,Scala
141,kairosdb,Java
142,kernel-common,
143,klio,Python
144,lemur,Python
145,lighthouse-audit-service,TypeScript
146,limbo,Scala
147,lingon,JavaScript
148,linux,C
149,logging-java,Java
150,luigi,Python
151,lyceum,Clojure
152,mace,
153,magnolify,Scala
154,metrics-munin-reporter,Java
155,missinglink,Java
156,mlockexec,Python
157,mobius,Java
158,mobius-android-sample,Java
159,Mobius.swift,Swift
160,moob,Ruby
161,netty-batch-flusher,Java
162,netty-zmtp,Java
163,noether,Scala
164,okta-sdk-python,Python
165,openfeature-kotlin-sdk,Kotlin
166,openfeature-swift-sdk,Swift
167,pedalboard,C++
168,PeqBank,C
169,perf-map-agent,C
170,phpconf-argentina-2014,JavaScript
171,platform-external-bluetooth-bluez,
172,polly-jest-presets,TypeScript
173,postgresql-metrics,Python
174,proto-registry,TypeScript
175,proto-requests,TypeScript
176,protoman,Java
177,puppet-talos,Puppet
178,pyeos,Python
179,pyfg,Python
180,pyschema,Python
181,python-graphwalker,Python
182,pythonflow,Python
183,pywk,Python
184,quickstart,JavaScript
185,ratatool,Scala
186,react-native-lookback,Objective-C
187,reactochart,JavaScript
188,realbook,Python
189,redux-location-state,JavaScript
190,requests-crtauth,Python
191,robolectric,Java
192,rspec-dns,Ruby
193,rspec-dnsruby,Ruby
194,ruler,Kotlin
195,s3mper,Java
196,scanctl,Python
197,scio,Scala
198,scio-contrib,Scala
199,scio-idea-plugin,Scala
200,scio.g8,Scala
201,sekexe,Shell
202,semantic-metrics,Java
203,should-up,JavaScript
204,shumway,Python
205,simple-bigtable,Java
206,skydns,
207,skygc,Python
208,snakebite,Python
209,soa-reference-integration,TypeScript
210,soundcheck-demo-environment,TypeScript
211,spark-bigquery,Scala
212,sparkey,C
213,sparkey-java,Java
214,sparkey-python,Python
215,spawn,Java
216,spotify-checkstyle-config,
217,spotify-heroic-datasource,TypeScript
218,spotify-js-challenge,JavaScript
219,spotify-json,C++
220,spotify-tensorflow,Python
221,spotify-web-api-ts-sdk,TypeScript
222,spotify-web-playback-sdk-example,JavaScript
223,spotify.github.io,HTML
224,SpotifyLogin,Swift
225,sprunch,Scala
226,SPStackedNav,Objective-C
227,SPTDataLoader,Objective-C
228,SPTPersistentCache,Objective-C
229,spydra,Java
230,spymaster,Python
231,squashing-census-exporter,Kotlin
232,ssh-agent-proxy,Java
233,ssh-agent-tls,Java
